Country,Code,Indicator,IndicatorCode,Year,Value
Aruba,ABW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Africa Eastern and Southern,AFE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0428531855396154
Africa Western and Central,AFW,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,7.64370111433218
Albania,ALB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,4.10399664589503
Arab World,ARB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,18.3998112387027
United Arab Emirates,ARE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,24.402053679207
Argentina,ARG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.94242246093207
Armenia,ARM,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Antigua and Barbuda,ATG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Australia,AUS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.641089369763699
Austria,AUT,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0354891865198928
Burundi,BDI,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Belgium,BEL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Benin,BEN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.698477142236659
Burkina Faso,BFA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Bangladesh,BGD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0119208176552172
Bulgaria,BGR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0260432409169541
Bahrain,BHR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,21.2817202176025
"Bahamas, The",BHS,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Belize,BLZ,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Bermuda,BMU,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Bolivia,BOL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.45100635587098
Brazil,BRA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.678115888152258
Barbados,BRB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.219261252654016
Brunei Darussalam,BRN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,16.6789303849283
Bhutan,BTN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Botswana,BWA,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Central African Republic,CAF,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Canada,CAN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.0666904312301
Central Europe and the Baltics,CEB,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.210442601497662
Switzerland,CHE,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0
Chile,CHL,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.165888026790575
China,CHN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,2.83491681688875
Cote d'Ivoire,CIV,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,0.0396158329261878
Cameroon,CMR,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,4.48228897359361
"Congo, Dem. Rep.",COD,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,1.00814401407565
"Congo, Rep.",COG,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,1990,19.8873096947287
